city,cities
Kelaniya,Kelanai
Kegalle,Keballa
Katunayaka,Katunayaka
Kataragama,Kataragama
Kandy,KDW
Kandana,Kandana
Kalutara,KTY
Kalmunai,Kalmunai
Jaffna,Dzafn
Ja Ela,Ja Ela
Homagama,Homagama
Hendala,Hendala
Hatton,Hatton
Hanwella Ihala,Hanwella Ihala
Gampola,Gampola
Galle,Gale
Eravur Town,Ehravure
Devinuwara,Devinuvara
Dambulla,DBU
Colombo,CMB
Chilaw,Chilan
Beruwala,Beruwala
Bentota,BJT
Batticaloa,BTC
Battaramulla South,Battaramulla
Badulla,Badull
Anuradhapura,ACJ
Ampara,ADP
Ambalangoda,Ambalangoda
Zwedru,Tchien
New Yekepa,Lamco
Voinjama,VOI
Monrovia,MLW
Kakata,Kakata
Harper,CPA
Greenville,Greenville
Gbarnga,Gbanga
Buchanan,B'jukenen
Bensonville,Bensonville
Quthing,Cguting
Qacha's Nek,Qacha's Neck
Mohale's Hoek,Mohale's Hoek
Maseru,MSU
Maputsoe,Maputsoe
Mafeteng,MFC
Leribe,Hlotse
Butha-Buthe,Buta-Buteh
Visaginas,Snechkus
Vilnius,IVilnyusi
Utena,Otena
Ukmerge,Okmergie
Telsiai,Cjal'shehj
Taurage,Taouranke
Silute,Heidekrug
Siauliai,Comune urbano di Siauliai
Rokiskis,Myasto Rokishkis
Radviliskis,Radvilai
Plunge,Plunge
Panevezys,PNV
Palanga,PLQ
Fabijoniskes,Fabijoniskes
Mazeikiai,Mazeiki
Marijampole,Kapsukas
Kretinga,Kratinga
Klaipeda,KLJ
Kedainiai,Kedaini
Kaunas,Caunas
Jonava,Ionava
Gargzdai,Gardzdai
Druskininkai,Droskininka
Alytus,Alita
Aleksotas,Aleksota
Dainava (Kaunas),
Silainiai,
Eiguliai,
Pasilaiciai,
Pilaite,
Justiniskes,
Seskine,
Lazdynai,
Vilkpede,
Naujamiestis,
Luxembourg,Bandar Luxembourg
Esch-sur-Alzette,Ehsh-sjur-Al'zet
Dudelange,Diddeleng
Valmiera,Valmeena
Ventspils,VNT
Tukums,Tuckum
Salaspils,Kirchholm
Riga,RIX
Rezekne,Rehzehkneh
Ogre,Ogre
Liepaja,LPX
Jurmala,Jurmala
Jelgava,Elgava
Jekabpils,Ekabpils
Daugavpils,Borisoglebsk
Cesis,Cesis
Tobruk,Antipyrgos
Qaryat Suluq,Qaryat Salug
Darnah,DNF
Benghazi,BEN
Az Zuwaytinah,Az Zuwaytinah
At Taj,At Taj
Tukrah,Al `Aquriyah
Al Qubbah,Al Gubbah
Al Marj,Al Marj
Al Jawf,AKF
Al Bayda',Al Bayda'
Al Abyar,Alabia
Ajdabiya,AEcdabiya
Zuwarah,WAX
Zliten,Isliten
Zaltan,Zaltan
Yafran,Gasr Iefren
Waddan,Uaddan
Tarhuna,El-Buerat
Tripoli,Aea
Tajura',Tagiura
Sirte,Gasr Zaafran
Surman,Sorman
Sabratah,Madinat Sabratah
Sabha,El-Gedid
Nalut,Lalut
Murzuq,Marzuq
Mizdah,Misdah
Misratah,Al Misratah
Masallatah,
Hun,HUQ
Zawiya,Al Harah
Ghat,GHT
Gharyan,Garian
Brak,BCQ
Bani Walid,Baeni Vaelid
Zintan,As-Sintan
Az Zawiyah,Az Zawiyah
Ubari,Awbari
Al Ajaylat,Agelat
Al Khums,Al Hums
Al Jumayl,Al Jamil
Al Jadid,Al Jadid
Smara,Asmara
Setti Fatma,Sette Fatna
Zaio,Toumiat Zaio
Zagora,OZG
Youssoufia,Louis Gentil
Tiznit,Tiznit
Tirhanimine,
Tinghir,Tineghir
Tiflet,
Tetouan,TTU
Temara,Kasba Temara
Taza,Taza
Taroudant,Taroudannt
Taourirt,
Taounate,Taounat
Tan-Tan,TTA
Tangier,TNG
Tahla,El Ayba Tahalla
Souq Larb'a al Gharb,El Arba du Gharb
Sidi Yahia El Gharb,Sidi Yahia El Gharb
Sidi Slimane,Sidi Slamain
Sidi Qacem,Petitjean
Sidi Ifni,Ifni
Sidi Bennour,
Settat,Azettad
Sefrou,Sefrou
Sale,Sala
Safi,Asafi
Recani,Recani
Rabat,RBA
Oulmes,Oulmes
Oulad Teima,Oulad Teima
Oujda-Angad,OUD
Oued Zem,Wadi Zam
Ouezzane,Ouazzane
Ouarzazat,OZZ
Nador,NDR
Al Aaroui,Al Aaroui
Mohammedia,Al Muhammadiyah
Midelt,Midelt
Meknes,MEK
Mechraa Bel Ksiri,Ksiri
Martil,Martil
Marrakesh,Marakes
Larache,Al `Ara'ish
Ksar El Kebir,Alcazarquebir
Khouribga,Khouribga
Khenifra,Chenifra
Kenitra,Al Qunaytirah
Kasba Tadla,Kasba Tadla
Jerada,Djerada
Ifrane,Ifran
Guercif,Garsif
Guelmim,GLN
Fnidek,Castillejos
Al Fqih Ben Calah,Al Fqih Ben Calah
Fes al Bali,Fes al Bali
Fes,FEZ
Essaouira,Amegdul
Arfoud,Arfoud
El Jadid,Al Jadida
El Hajeb,
El Aioun,Aioun Sidi Mellouk
Imzouren,Ain Zoren
Chefchaouene,Chaouen
Casablanca,Ad Dar al Bayda
Bouznika,Bouzhika
Bouarfa,Bordj de Bou Arfa
Berkane,Berkan
Beni Mellal,Ayt Mellal
Berrechid,Barrechid
Azrou,Azrou
Azemmour,Azamor
Asilah,Arcila
Khemisset,Al Khmissat
Al Hoceima,AHU
Ain Beni Mathar,Ain Beni Mathar
Ahfir,Ahfir
Agadir,AGA
Skhirate,Ac Ckhirat
Boujniba,Boujniba
Errachidia,Al-Rashidiyya
Dakhla,Dajla
Sale Al Jadida,
Bni Bouayach,Bni Bojazh
Monte-Carlo,Monte Carlo
Monaco,MCM
Edinet,Edincy
Ungheni,Ukgeni Tyrg
Tiraspol,Ciraspal'
Straseni,Straseni
Bilicenii Vechi,Belichany
Soroca,Soroca
Slobozia,Moldavanskaya-Slobodzaya
Ribnita,Rabnita
Orhei,Orgeev
Hincesti,Ganchesty
Causeni,Causani-Novi
Floresti,Floresht'
Dubasari,Dubasari
Drochia,Drochia
Comrat,Comrat
Chisinau,Chisinau
Ceadir-Lunga,Ceadar-Lunga
Cahul,Cahul
Bender,Bendary
Balti,BZY
Podgorica,Birziminium
Pljevlja,Ljevlja
Niksic,Nikshic
Herceg Novi,Castelnuovo
Cetinje,Cetina
Budva,Bountva
Bijelo Polje,Bielo pole
Bar,Antibarium
Marigot,MSB
Toamasina,TMM
Vondrozo,
Vohipaho,Vohipaha
Vohibinany,Ampasimanolotra
Vavatenina,
Vangaindrano,VND
Tsiroanomandidy,WTS
Tsiombe,Tsihombe
Tsaratanana,TTS
Toliara,TLE
Tolanaro,FTU
Soavinandriana,Seavinandriana
Soanindrariny,
Soanierana Ivongo,Saanierana
Sitampiky,Sitampiki
Sambava,SVB
Sakaraha,Sakaraha
Sahavato,
Sadabe,
Nosy Varika,
Morondava,MOQ
Moramanga,OHB
Miandrivazo,Miandrivazo
Miandrarivo,
Marovoay,Marovoay
Marolambo,
Maroantsetra,Maroantsetra
Manjakandriana,
Mananjary,MNJ
Mananara,Mananara
Manakara,Manakara
Maintirano,MXT
Mahanoro,VVB
Mahajanga,MJN
Maevatanana,Maevatanana
Ikongo,Fort Carhot
Ikalamavony,Ikalamavony
Ihosy,IHO
Ifanadiana,
Fianarantsoa,Fianarancua
Fenoarivo Be,Fenoarivo
Fenoarivo Atsinanana,Fenerive
Faratsiho,
Farafangana,RVA
Fandriana,Fandriana
Betioky,BKU
Betafo,
Beroroha,Beroroha
Belo sur Tsiribihina,BMD
Beloha,
Bealanana,Bealanana
Arivonimamo,Arivonimamo
Antsohimbondrona,Antsohimbondrona
Antsohihy,Antsohihi
Antsiranana,Anceranana
Antsirabe,ATJ
Antanifotsy,
Antananarivo,Antananarifo
Antalaha,ANM
Ankazondandy,
Ankazobe,
Ankazoabo,Ankazoabe
Anjozorobe,
Hell-Ville,Andoany
Andilamena,
Andapa,ZWA
Ampasimanolotra,Ampasimanolotra
Amparafaravola,Amparafarovola
Ampanihy,AMP
Ampahana,Ampaha
Ambovombe,
Ambositra,Ambositra
Ambohitrolomahitsy,
Amboasary,Amboasary
Amboanjo,
Ambilobe,AMB
Ambatondrazaka,Ambatondrazaka
Ambatolampy,
Ambatofinandrahana,Ambatofinandrahana
Ambato Boeny,Ambato
Ambarakaraka,
Ambanja,Ambanja
Ambalavao,Ambalava
Alarobia,Alarobi
Majuro,MAJ
RMI Capitol,
Zelino,Zelino
Vinica,Vinica
Veles,Koprulu
Tetovo,Cetava
Tearce,Tearce
Studenicane,Studenicane
Strumica,Stromitza
Struga,QXP
Shtip,Ishtib
Skopje,Escopia
Saraj,Saraj
Resen,Resen
Radovis,Radovis
Prilep,Perlepe
Ohrid,Akhris
Negotino,Negotin
Negotino,Negotin
Lipkovo,Lipkove
Kumanovo,Koumanovo
Kriva Palanka,Kriva Palanka
Kochani,Kocane
Kicevo,Kercova
Kavadarci,Kavadar
Kamenjane,Kamenane
Gostivar,Gostivar
Gevgelija,Devdelijad
Gjorce Petro,Djorce Petrov
Delcevo,Carevo Selo
Debar,Bebar
Brvenica,Bervenice
Bogovinje,Bogovina
Bitola,Bitol
Suto Orizare,Shuto Orizari
Butel,Butel
Cair,Cair
Ilinden,Belimbegovo
Kisela Voda,Kisela Voda
Centar Zupa,Centar Zhupa
Yorosso,Joroso
Timbuktu,TOM
Sikasso,KSS
Segou,SZU
San,San
Sagalo,Sagallo
Mopti,MZI
Markala,Markala
Koutiala,KTX
Koulikoro,Koulikoro
Kolokani,Kokolani
Kayes,KYS
Kati,Kati
Kangaba,Kaba
Gao,GAQ
Djenne,Djenne
Bougouni,Bougoum
Banamba,Banamba
Bamako,BKO
Bafoulabe,Bafoulabe
Yenangyaung,Yaynangyoung
Nyaungdon,Nyanngdon
Yamethin,Yamethin
Wakema,Wagay-ma
Twante,Twante
Taungoo,Taung-ngu
Thongwa,Thon-Khwa
Thayetmyo,Thayetmo
Thaton,Tha-tun
Tharyarwady,Tharrawaddy
Thanatpin,Tanatpin
Dawei,Davejus
Taunggyi,Taundzhi
Taungdwingyi,Taungdwingyi
Tachilek,THL
Syriam,
Sittwe,AKY
Shwebo,Shwebo
Sagaing,Sagajn
Yangon,Dagon
Pyu,Pyu
Pyinmana,P'inmana
Pyay,PRU
Pyapon,P'japon
Bago,Bagas
Paungde,Paung-deh
Pakokku,PKK
Hpa-An,Hpa-An
Nyaunglebin,Nyaunglebin
Myitkyina,M'ichina
Myingyan,Myingan
Myawadi,Myawadi
Myanaung,Myanaung
Mudon,Mudon
Mawlamyinegyunn,Mawlamyainggyun
Mawlamyine,MNU
Monywa,Moniva
Mogok,Magok
Minbu,Minbu
Myeik,M'ej
Meiktila,Meiktila
Pyin Oo Lwin,Maymo
Mawlaik,Mawlaik
Maubin,Ma-oo-beng
Martaban,Martaban
Mandalay,MDL
Magway,MWQ
Loikaw,LIW
Letpandan,Letpadan
Lashio,LSH
Kyaukse,Kyaukse
Kyaikto,Kyaikto
Kyaiklat,Keiklat
Kyaikkami,Amherst
Kayan,Kayan
Kawthoung,KAW
Kanbe,Kanbe
Hinthada,HEB
Hakha,Haka
Chauk,Chauk
Bogale,Bogale
Bhamo,BMO
Pathein,BSX
Myaydo,Allanmyo
Nay Pyi Taw,Kyatpyay
Kyain Seikgyi Township,
Uliastay,Chdzibkhalantu
Ulaangom,ULO
OElgii,Bayan-Ulegey
Khovd,Chirgalantu
Altai,Altai
Ulan Bator,Da Hueryee
Suhbaatar,Suehbaatar
Moron,Moeroen
Mandalgovi,MXW
Hovd,Bogd
Erdenet,Ehrdehneht
Dzuunharaa,Dzueuenharaa
Darhan,Darchan
Dalandzadgad,DLZ
Saynshand,Buyant-Uhaa
Bulgan,Bulagan
Bayanhongor,BYN
Baruun-Urt,Barun Urt
Arvayheer,AVK
Zuunmod,Zuunmod
Macau,Aomen
Saipan,SPN
Saint-Joseph,Saint-Joseph
Sainte-Marie,Bourg de Sainte Marie
Le Robert,Le Rober
Le Lamentin,Lamentin
Le Francois,Francois
La Trinite,La Trinite
Fort-de-France,Arx Gallica
Ducos,Ducos
Zouerate,Az Zuwayrat
Tekane,Tekane
Selibaby,SEY
Rosso,Al-Quwarib
Nouakchott,NKC
Nouadhibou,NDB
Nema,An Na`mah
Kiffa,KFA
Kaedi,KED
Atar,ATR
Aleg,Alak
Plymouth,Plimouth
Brades,Brades Estate
Zabbar,Haz-Zabbar
Valletta,A Valeta
Qormi,Hal Qormi
Mosta,Il-Mosta
Birkirkara,B'Kara
Vacoas,Phoenix
Triolet,Triolet
Saint Pierre,Saint Pierre
Quatre Bornes,Quatre Bornes
Port Louis,Bort Lois
Mahebourg,Mahebourg
Goodlands,Goodlands
Curepipe,Curepipe
Centre de Flacq,Centre of Flacq
Bel Air Riviere Seche,Bel Air Riviere Seche
Beau Bassin-Rose Hill,Beau Bassin
Bambous,Bambous
Le Hochet,Le Hochet
Male,MLE
Karonga,KGJ
Zomba,Zomba
Salima,LMB
Rumphi,Rumphi
Nsanje,Chimombi
Nkhotakota,Kota Kota
Mzuzu,Kaningina
Mzimba,Mzimba
Mulanje,Mlange
Mchinji,Chimji
Mangochi,Fort Johnston
Liwonde,Liwonde
Lilongwe,LLW
Kasungu,KBQ
Dedza,Dedza
Blantyre,BLZ
Balaka,Balaka
San Fernando,San Fernando
Ciudad Valles,Ciudad Valles
Zumpango,NLU
Zumpango del Rio,Xumpango
Zacualtipan,Zacualtipan
Zacatlan,Sakatlan
Zacatepec,Zacatepec
Yecapixtla,Yacapitztla
Yautepec,Yautepec de Zaragoza
Yajalon,Yajalon
Xoxocotla,Xoxocotla
Xonacatlan,San Francisco
Xochitepec,Xochiltepec
Xochimilco,Delegacion Xochimilco
Xicotepec de Juarez,Juarez Xicotepec
Xico,Jico
Xico,San Miguel Xico
Santa Ana Xalmimilulco,Santa Ana Xalmimilulco
Alvaro Obregon,Alvaro Obregon
Villahermosa,Cualnezcaltepec
Gustavo Adolfo Madero,Delegacion Gustavo A. Madero
Villaflores,Villa de Flores
Veracruz,Chalchiuhcuehcan
Venustiano Carranza,San Bartolo
Valle Hermoso,Valle Hermoso
Valladolid,Val'jadolid
Uman,San Antonio Tedzidz
Tuxtla,Gutierrez
Tuxpam de Rodriguez Cano,Tuxpam
Tulum,TUY
Tultitlan de Mariano Escobedo,Tul'titlan
Tultepec,San Pedro de Tultepec
Tulancingo,Tulancingo
Tula de Allende,El Tule
Santa Rosa Treinta,Santa Rosa Treinta
San Miguel Topilejo,San Miguel Topilejo
Toluca,TLC
San Bernardino Tlaxcalancingo,San Bernandino Tlaxcalancingo
Tlaquiltenango,Tlaquiltenango
Tlapa de Comonfort,Tlapa
Tlapacoyan,Tlapacoyan
Tlalpan,Delegacion Tlalpan
Tlalnepantla,Tlalnepantla
Tlahuac,Delegacion Tlahuac
Tizimin,TZM
Tizayuca,Tizayuca
Tixtla de Guerrero,Tikhtla-de-Gerrero
Ticul,Ticul
Teziutlan,Teziutlan
Texcoco de Mora,Texcoco
Tequixquiac,Santiago Tequixquiac
Tequisquiapan,Tequisquiapam
Cuautitlan Izcalli,Cuautitlan Izcalli
Tepotzotlan,Tepotzotlan
Tepeji del Rio de Ocampo,Tepeji
Tepeapulco,Tepeapulco
Tepeaca,Tepeaca
Tepatlaxco de Hidalgo,Tepatlaxco
Teopisca,Teopisca
Teoloyucan,Teoloyucan
Tenosique,Tenosique
Tenango de Arista,Tenango
Temixco,Temisco
Teloloapan,Teloloapan
Tecax,Ciudad Obregon
Tehuacan,TCN
Tecamachalco,Tecamachalco
Teapa,Teapa
Taxco de Alarcon,Tasco
Tapachula,TAP
Tantoyuca,Tantoyuca
Tamuin,Tamuin
Tampico,TAM
Tamazunchale,Tamazunchale
Suchiapa,Suchiapa
Santo Domingo Tehuantepec,Ciudad Santo Domingo Tehuantepec
Santiago Tuxtla,Juan de la Luz Enriquez
Tetla,Atipa
Pinotepa Nacional,PNO
Santiago Tulantepec,Santiago
Moyotzingo,Moyatzingo
Santa Maria Chimalhuacan,Chimalhuacan
Santa Maria Atzompa,Azompa
Heroica Ciudad de Tlaxiaco,Heroica Ciudad de Tlaxiaco
Santa Cruz Xoxocotlan,Santa Cruz
Tecamac,Santa Cruz
Santa Ana Chiautempan,Chiautempan
Zinacatepec,San Sebastian
San Salvador El Seco,El Seco
San Salvador Atenco,Atenco
San Rafael,San Rafael
San Pablo de las Salinas,Salinas
San Pablo Autopan,Autopan
Zinacantepec,San Miguel Zicantepec
San Miguel Coatlinchan,Coatlinchan
San Miguel Ajusco,Ajusco
San Mateo Atenco,Atenco
San Martin Texmelucan de Labastida,San Martin
Teolocholco,San Luis Teolocholco
San Juan Zitlaltepec,Citlaltepetl
Teotihuacan,San Juan
San Juan Ixtayopan,Ixtayopan
San Juan del Rio,San Juan del Rio
Tuxtepec,San Juan Bautista
San Jeronimo,Chicahualco
San Francisco Tlalcilalcalpan,San Francisco Tlalcilalcalpa
San Francisco Acuautla,Acuautla
Sanctorum,Sanctorium
San Cristobal de las Casas,Ciudad Las Casas
San Andres Tuxtla,San Andres Tuxtla
Salina Cruz,SCX
Rioverde,Rioverde
Ciudad Rio Bravo,Ciudad Rio Bravo
Rio Blanco,Rio Blanco
Reynosa,REX
Reforma,La Reforma
Puerto Escondido,PXM
Puente de Ixtla,
Puebla,Angelopolis
Progreso de Alvaro Obregon,Progreso
Progreso,Progreso
Poza Rica de Hidalgo,PAZ
Polanco,Col Polanco
Playa del Carmen,PCM
Pijijiapan,Pijijiapam
Peto,Peto
Perote,Perote
Paraiso,Paraiso
Papantla de Olarte,Papanila
Panuco,Panuco
Palmarito Tochapan,Palmarito
Palenque,PQM
Pachuca de Soto,Pachuca
Ozumba de Alzate,Ozumba
San Pablo Oztotepec,Oxtotepec
Oxkutzkab,Oxkutzcab
Orizaba,Orisaba
Ometepec,Ometepec
Ocozocoautla de Espinosa,La Ventosa
Ocoyoacac,Ocoyoacac
Ocotlan de Morelos,Ocotlan
Ocosingo,Ocosingo
Oaxaca,Byen Oaxaca
Nuevo Laredo,NLD
Nogales,Nogales
Nicolas Romero,Ciudad Nicolas Romero
Naucalpan de Juarez,Municipio Naucalpan de Juarez
Naranjos,Naranjas
Nanchital de Lazaro Cardenas del Rio,Nanchital
Motul,Motul
Motozintla,Motozintla
Mazatlan,Montemorelos
Santiago Momoxpan,
Mixquiahuala de Juarez,Mixquiahuala
Misantla,Misantla
Miramar,Miramar
Minatitlan,MTT
Milpa Alta,Milpa Alta
Miahuatlan de Porfirio Diaz,Miahuatlan
Metepec,Metepec
Merida,Ciudad de Merida
Matias Romero,Matias Romero
Heroica Matamoros,Heroica Matamoros
Martinez de la Torre,Martinez de la Torre
Mapastepec,Mapastepec
Magdalena Contreras,Magdalena Contreras
Macuspana,Macuspana
Reyes Acozac,Los Reyes Acozac
Los Reyes Acaquilpan,Los Reyes
Los Reyes de Juarez,Los Reyes
Linares,Linares
Libres,Ciudad de Libres
Lerma de Villada,Lerma
Lerdo de Tejada,Lerdo de Tejada
Las Rosas,Las Rosas
Las Margaritas,Las Margaritas
Las Choapas,Las Choapas
Magdalena Atlicpac,Atlipac
La Isla,Isla
San Antonio de la Cal,La Cal
Kanasin,Kanacin
Juchitepec,Juchitepec
Juchitan de Zaragoza,Heroica Ciudad de Juchitan de Zaragoza
Jose Cardel,Cardel
Jojutla,Jojutla
Jiutepec,Jiutepec
Jaltipan de Morelos,Jaltipan
Jalpa de Mendez,Jalpa
Xalatlaco,Jalatiaco
Xalapa de Enriquez,JAL
Izucar de Matamoros,Isukar-de-Matamoros
Izamal,Izamal
Ixtepec,Ciudad Ixtepec
Ixtapan de la Sal,Ixtapan de la Sal
Ixtapaluca,Ixtapaluca
Iztapalapa,Delegacion Iztapalapa
Ixtaczoquitlan,Ixtac Zoquitlan
Iztacalco,Delegacion de Ixtacalco
Ixmiquilpan,Iximiquilpan
Villa Independencia,Independencia
Iguala de la Independencia,Iguala
Hunucma,Hunucma
Huixtla,Huixtla
Ciudad de Huitzuco,Ciudad Huitzuco
Huimanguillo,Huimanguillo
Huejutla de Reyes,Huejutla
Huejotzingo,Huejotzingo
Huauchinango,Huauchinango
Huatusco,Huatusco
Ciudad de Huajuapan de Leon,Ciudad de Huajuapam de Leon
Comalapa,Comalapa
Frontera,Alvaro Obregon
Fortin de las Flores,El Fortin
Felipe Carrillo Puerto,Felipe Carillo Puerto
Escarcega,Ehskarsega
Emiliano Zapata,Emiliano Zapata
Emiliano Zapata,Ehmiliano Sapata
Ciudad Mante,Ciudad Mante
Ecatepec de Morelos,Ecatepec
Ebano,Ebano
Cunduacan,Conduacan
Cuernavaca,CVJ
Cuautlancingo,Cuautlancingo
Cuautla,Cuautla
Cuautitlan,Cuautitlan
Cuautepec de Hinojosa,Cuautepec
Delegacion Cuajimalpa de Morelos,Cuajimalpa
Cozumel,CZM
Coyotepec,Coyotepec
Coyoacan,Coyoacan
Cosoleacaque,Cosoleacaque
Coscomatepec de Bravo,Coscomatepec
Cosamaloapan,Cosamaloapan
Cordoba,Cordoba
Contla,Contla
Comitan,CJT
Comalcalco,Comalcalco
Coatzintla,Coatzintla
Coatzacoalcos,Coatzacoalcos
Coatepec,Coatepec
Coacalco,Coacalco
Ciudad Victoria,Altepetl Victoria
Ciudad Serdan,Chalchicomula
Ciudad Sahagun,Bernardino de Sahagun
Ciudad Nezahualcoyotl,Cd. Neza
Ciudad Miguel Aleman,Ciudad Aleman
Ciudad Mendoza,Camerino Z. Mendoza
Ciudad Madero,Cd Madero
Ciudad Fernandez,Ciudad Fernandez
Mexico City,Cdmx
Ciudad del Carmen,Altepetl Carmen
Cintalapa de Figueroa,Cintalapa
Cholula,Cholula
Chilpancingo,Chilpancingo
Chilapa de Alvarez,Chilapa
Chignahuapan,Chignahuapan
Chiconcuac,Chiconcuac
Chicoloapan,Chicoloapan
Chichen-Itza,Chichen Itza
Chiapa de Corzo,Ch'japa-de-Korso
Chetumal,CTM
Champoton,Chakanputun
Chalco,Chalco
Cerro Azul,Cerro Azul
Catemaco,Catemaco
Carlos A. Carrillo,Carlos A. Carrillo
Cardenas,Cardenas
Cardenas,Cardenas
Capulhuac de Mirafuentes,Capulhuac
Cancun,CUN
Campeche,CPE
Calpulalpan,Calpulalpam
Cadereyta Jimenez,Cadereyta
Cadereyta,
Cacahoatan,Cacahoatan
Berriozabal,Berriozaba
Banderilla,Banderilla
Azcapotzalco,Atzapotzalco
Ayutla de los Libres,Ayutla
Axochiapan,Axochiapan
Atlixco,Atliksko
Atlacomulco de Fabela,Atlacomolco
Ciudad Lopez Mateos,Adolfo Lopez Mateos
Apizaco,Apisako
Apan,Apam
Amozoc de Mota,Amozoc
Amecameca,Amecameca
Alvarado,Al'varado
Altotonga,Altotonga
Altepexi,Altepexi
Altamira,Al'tamira
Allende,Allende
Alamo,Alamo
Ajalpan,Ajalpan
Agua Dulce,Agua Dulce
Actopan,Actopan
San Lorenzo Acopilco,Acopilco
Acayucan,Acayucan
Acatzingo,Acatzingo
Acatlan de Osorio,Acatlan
Acapulco de Juarez,ACA
Acajete,Acajete
San Antonio Acahualco,Acahualco
Valente Diaz,Valente Diaz
Santiago Tlacotepec,Santiago Tlacotepec
Tierra Blanca,Tierra Blanca
Playas del Rosario,Garcia
Rio de Teapa,Rio de Teapa
Huamantla,Cuammantlah
La Magdalena Tlaltelulco,La Magdalena Tlaltelulco
Zacatelco,Cakatelko
Tlaxcala,Tlaskala
Papalotla,Papalotla
Villa Vicente Guerrero,San Pablo del Monte
Tonala,Tonala
Arriaga,Arriaga
San Mateo Huitzilzingo,Huitzilzingo
San Martin Cuautlalpan,San Martin Cuautlalpan
Tulantongo,Santa Maria Tulantongo
Tezoyuca,Tezoyuca
Tepexpan,Tepexnan
Santa Maria Ajoloapan,Santa Maria Ajoloapan
San Andres Cholula,San Andres Cholollan
Alto Lucero,
Loma Bonita,Loma Bonita
Isla,Isla
San Andres Cuexcontitlan,San Andres Cuescontitlan
San Mateo Otzacatipan,San Mateo Otzacatipan
San Pedro Totoltepec,San Pedro Tololtepec
Santa Maria Totoltepec,San Maria Totoltepec
San Francisco Cuaxusco,San Francisco Cuaxusco
Benito Juarez,
Venustiano Carranza,Venustiano Carranza
Miguel Hidalgo,Delegacion Miguel Hidalgo
Cuauhtemoc,Cuauhtemoc
Huixquilucan,Huixquilucan
Melchor Ocampo,Melchor Ocampo
Huilango,
Santiago Teyahualco,Santiago Atocan
Ojo de Agua,
Buenavista,Buenavista
Miguel Aleman (La Doce),La Doce
Leyva Solano,Gabriel Leyva Solano
Cihuatlan,
Lazaro Cardenas,Lazaro Cardenas
Santa Isabel,Santa Isabel
Guadalupe Victoria,Ciudad Guadalupe Victoria (Kilometro Cuarenta y Tres)
Zinapecuaro,Zinapecuaro
Ixtapa-Zihuatanejo,Ixtapa Zihuatanejo
Zapotlanejo,Zapotlanejo
Zapotiltic,Zapotiltic
Zapopan,Sapapan
Zamora,Samora-de-Idal'go
Zacoalco de Torres,Zacoalco
Zacatecas,Altepetl Zacatecah
Zacapu,Sakapu
Yuriria,Villa Yuriria
Yurecuaro,Yurecuaro
Villa Hidalgo,Paso de Sotos
Villagran,El Guaje
Frontera,Ciudad Frontera
El Pueblito,Corregidora
Garcia,Garcia
Ciudad de Villa de Alvarez,Vil'ja-de-Al'vares
Valle de Santiago,Ciudad Valle de Santiago
Valle de Bravo,Temazcaltepec Bravo
Uruapan,Opstina Uruapan
Uriangato,Puriangato
Tuzantla,
Tuxpan,Tuxpan
Tuxpan,Tuxpan
Torreon,TRC
Tonala,Opstina Tonala
Tlaquepaque,San Pedro Tlaquepaque
Tlajomulco de Zuniga,Tlajomulco
Tijuana,TIJ
Tesistan,San Francisco Tesistan
Tequila,Municipio Tequila
Tepic,Nayarit
Tepatitlan de Morelos,Tepatitlan
Tepalcatepec,Tepalcatepec
Teocaltiche,Teocaltiche
Tejupilco de Hidalgo,Teiupilco
Tecpan de Galeana,Tecpan
Tecoman,Tecoman
Tecate,Tecate
Tangancicuaro de Arista,Tangacicuaro
Tamazula de Gordiano,Tamazula de Gordiano
Tala,Opstina Tala
Tacambaro de Codallos,Tacambaro
Sombrerete,Sombrerete
Soledad de Graciano Sanchez,Diaz Gutierrez
Silao,Silao
Sayula,Sayula
Santiago Papasquiaro,Santiago Papasquiaro
Santiago Ixcuintla,Santiago
Santiago,Sant'jago
Santa Rosa Jauregui,Santa Rosa
Santa Catarina,Ciudad Santa Catarina
Santa Anita,Santa Anita
San Sebastian el Grande,San Sebastian
San Pedro,San Pedro
San Pedro,San Pedro
San Nicolas de los Garza,San Nicolas de los Garsas
San Miguel el Alto,San Miguel
San Miguel de Allende,San Migel de Aljende
San Luis Rio Colorado,San Luis
San Luis Potosi,Altepetl San Luis Potosi
San Luis de la Paz,San Luis de la Paz
Cabo San Lucas,Cabo San Lucas
San Juan de los Lagos,San Juan de los Lagos
San Jose Iturbide,Alvaro Obregon
San Jose del Castillo,San Jose del Castillo
San Jose del Cabo,SJD
San Francisco del Rincon,San Francisco del Rincon
San Francisco de los Romo,San Francisco de Romos
San Felipe,SFH
San Felipe,Ciudad Doctor Hernandez Alvarez
Tlaltenango de Sanchez Roman,Sanchez Roman
San Buenaventura,San Buenaventura
Nicolas R Casillas,Nicolas R Casillas
Salvatierra,Ciudad Salvatierra
Saltillo,SLW
Salinas de Hidalgo,Salinas
Salamanca,Ciudad Salamanca
Sahuayo de Morelos,Sahuayo
Ciudad Sabinas Hidalgo,Ciudad Sabinas Hidalgo
Sabinas,Ciudad Sabinas
Rosarito,Ejido Mazatlan El Rosarito
El Rosario,El Rosario
Romita,Romita
Rio Grande,Rio Grande
Rincon de Romos,Rincon de Romos
Rancho La Gloria,La Gloria
Ramos Arizpe,Arizpe
